-0.991747, 0.538381, -1.061239, 0.685950
-0.872701, 0.416329, -0.936380, 0.678415
-0.735765, 0.308791, -0.793457, 0.676714
-0.609881, 0.227590, -0.667459, 0.675498
-0.475207, 0.155616, -0.534275, 0.675255
-0.354053, 0.096146, -0.432615, 0.672825
-0.259899, 0.063547, -0.362861, 0.677443
-0.110624, 0.029819, -0.223356, 0.677686
0.067486, 0.031178, -0.042882, 0.670151
0.266680, 0.072808, 0.156402, 0.663831
0.502037, 0.175142, 0.353280, 0.664803
0.709743, 0.320215, 0.531546, 0.669421
0.848323, 0.465360, 0.690898, 0.672581
0.924582, 0.603337, 0.787290, 0.675984
0.949175, 0.705334, 0.848677, 0.671366
0.981622, 0.811436, 0.921226, 0.677443
1.009809, 0.884174, 0.969679, 0.679631
1.057833, 0.974226, 1.034622, 0.687409
1.093650, 1.040761, 1.063432, 0.687895
1.126729, 1.103796, 1.116468, 0.690326
1.165224, 1.179306, 1.146996, 0.693972
1.191902, 1.227758, 1.151578, 0.688138
1.216832, 1.286553, 1.198961, 0.694458
1.225171, 1.314968, 1.191332, 0.690569
1.229211, 1.366743, 1.278369, 0.678901
1.223662, 1.442789, 1.342714, 0.676714
1.215961, 1.500691, 1.388404, 0.668692
1.208245, 1.623445, 1.495246, 0.666262
1.193573, 1.692742, 1.559282, 0.664317
1.165918, 1.779454, 1.668922, 0.659699
1.137751, 1.866661, 1.759799, 0.662372
1.110784, 1.948873, 1.838496, 0.660914
1.065339, 2.045065, 1.938331, 0.658969
1.021293, 2.099689, 2.030044, 0.665046
0.957118, 2.180218, 2.111306, 0.667720
0.886699, 2.255950, 2.208634, 0.669421
0.816195, 2.325853, 2.296186, 0.674283
0.759603, 2.374384, 2.340831, 0.677686
0.663592, 2.453365, 2.426323, 0.685950
0.577806, 2.512239, 2.472398, 0.687409
0.467659, 2.591712, 2.536274, 0.685221
0.337054, 2.660231, 2.628198, 0.686680
0.155041, 2.733244, 2.786032, 0.689353
-0.097312, 2.777971, 2.974916, 0.690812
-0.346110, 2.767053, -3.080469, 0.689596
-0.472479, 2.729110, -2.978564, 0.687166
-0.563261, 2.689495, -2.950703, 0.689596
-0.640084, 2.654883, -2.902240, 0.689353
-0.678982, 2.637599, -2.913036, 0.693486
-0.740434, 2.619302, -2.903556, 0.698104
-0.801122, 2.606882, -2.861746, 0.695916
-0.869517, 2.586913, -2.786197, 0.692756
-0.905269, 2.571733, -2.754153, 0.688138
-0.970540, 2.531726, -2.732220, 0.686193
-1.060328, 2.459231, -2.649113, 0.688138
-1.141164, 2.331295, -2.548646, 0.677200
-1.305424, 1.958383, -2.305142, 0.675012
-1.364783, 1.709155, -2.069587, 0.670151
-1.374414, 1.578250, -1.955870, 0.669908
-1.375059, 1.480504, -1.827098, 0.666262
-1.368521, 1.398922, -1.759073, 0.663345
-1.360090, 1.300414, -1.638172, 0.669421
-1.343217, 1.217478, -1.562096, 0.666748
-1.319909, 1.118385, -1.465518, 0.671366
-1.286782, 1.028472, -1.380233, 0.679631
-1.233216, 0.907903, -1.321581, 0.679874
-1.172243, 0.766022, -1.241682, 0.682547
-1.069692, 0.610190, -1.094059, 0.686680
-0.953749, 0.491600, -0.947054, 0.686193
-0.834220, 0.385839, -0.862807, 0.687166
-0.705667, 0.283132, -0.762182, 0.690812
-0.586899, 0.206940, -0.661089, 0.691055
-0.480490, 0.140379, -0.553115, 0.690326
-0.388034, 0.098117, -0.462546, 0.687895
-0.269516, 0.052693, -0.371615, 0.688624
-0.126668, 0.023075, -0.251715, 0.688624
0.015788, 0.018889, -0.140369, 0.687166
0.220131, 0.044772, 0.055802, 0.681575
0.432714, 0.116500, 0.262226, 0.673554
0.645897, 0.243672, 0.445844, 0.670394
